#   78 | steps: 18808 | steps_t:  7003 | t: 738.517763 | r: -2130.000000 | e:   0.859940 | Q:  67.989830 | won: False
Red team starts
GAME IS OVER
#   79 | steps: 19109 | steps_t:  7262 | t: 758.016728 | r: -2480.000000 | e:   0.854760 | Q:  94.382133 | won: True
Blue team starts
GAME IS OVER
#   80 | steps: 19410 | steps_t:  7512 | t: 775.909720 | r:  2300.000000 | e:   0.849760 | Q: 100.610054 | won: True
Red team starts
GAME IS OVER
#   81 | steps: 19711 | steps_t:  7758 | t: 794.047456 | r: -1200.000000 | e:   0.844840 | Q:  94.785126 | won: True
Red team starts
Model saved
GAME IS OVER
#   82 | steps: 20012 | steps_t:  8018 | t: 813.042298 | r: -8260.000000 | e:   0.839640 | Q: 115.977188 | won: True
Red team starts
GAME IS OVER
#   83 | steps: 20180 | steps_t:  8145 | t: 822.748512 | r: -2960.000000 | e:   0.837100 | Q: 131.140228 | won: False
Red team starts
GAME IS OVER
#   84 | steps: 20481 | steps_t:  8396 | t: 843.605267 | r:  -790.000000 | e:   0.832080 | Q: 124.501511 | won: True
Blue team starts
GAME IS OVER
#   85 | steps: 20782 | steps_t:  8652 | t: 864.241138 | r:  1970.000000 | e:   0.826960 | Q: 136.642303 | won: True
Red team starts
GAME IS OVER
#   86 | steps: 21083 | steps_t:  8902 | t: 888.657159 | r:   490.000000 | e:   0.821960 | Q:  98.941765 | won: True
Blue team starts
GAME IS OVER
#   87 | steps: 21384 | steps_t:  9158 | t: 911.159660 | r: -4790.000000 | e:   0.816840 | Q: 132.210022 | won: True
Blue team starts
GAME IS OVER
#   88 | steps: 21604 | steps_t:  9323 | t: 925.157315 | r: -3700.000000 | e:   0.813540 | Q: 147.442169 | won: False
Red team starts
GAME IS OVER
#   89 | steps: 21819 | steps_t:  9487 | t: 937.859730 | r: -8690.000000 | e:   0.810260 | Q: 131.497696 | won: False
Red team starts
GAME IS OVER
#   90 | steps: 22120 | steps_t:  9747 | t: 959.042856 | r:  2660.000000 | e:   0.805060 | Q: 179.379639 | won: True
Red team starts
GAME IS OVER
#   91 | steps: 22292 | steps_t:  9874 | t: 969.684857 | r: -1360.000000 | e:   0.802520 | Q: 151.260483 | won: False
Red team starts
GAME IS OVER
#   92 | steps: 22555 | steps_t: 10086 | t: 987.689119 | r: -8820.000000 | e:   0.798280 | Q: 156.848328 | won: False
Blue team starts
GAME IS OVER
#   93 | steps: 22856 | steps_t: 10342 | t: 1007.839496 | r:  2820.000000 | e:   0.793160 | Q: 227.292267 | won: True
Red team starts
GAME IS OVER
#   94 | steps: 23022 | steps_t: 10463 | t: 1017.810547 | r: -1120.000000 | e:   0.790740 | Q: 218.288742 | won: False
Red team starts
GAME IS OVER
#   95 | steps: 23323 | steps_t: 10709 | t: 1037.815738 | r: -3080.000000 | e:   0.785820 | Q: 176.022919 | won: True
Red team starts
GAME IS OVER
#   96 | steps: 23538 | steps_t: 10873 | t: 1051.063247 | r: -5340.000000 | e:   0.782540 | Q: 182.577103 | won: False
Red team starts
GAME IS OVER
#   97 | steps: 23839 | steps_t: 11129 | t: 1071.971674 | r:  2150.000000 | e:   0.777420 | Q: 284.501953 | won: True
Blue team starts
GAME IS OVER
#   98 | steps: 24054 | steps_t: 11293 | t: 1084.321767 | r: -1770.000000 | e:   0.774140 | Q: 236.641479 | won: False
Red team starts
GAME IS OVER
#   99 | steps: 24226 | steps_t: 11420 | t: 1094.619328 | r: -1440.000000 | e:   0.771600 | Q: 152.318817 | won: False
Red team starts
GAME IS OVER
#  100 | steps: 24442 | steps_t: 11582 | t: 1108.475921 | r: -4600.000000 | e:   0.768360 | Q: 182.370132 | won: False
Blue team starts
GAME IS OVER
#  101 | steps: 24711 | steps_t: 11796 | t: 1125.308598 | r: -2600.000000 | e:   0.764080 | Q: 199.611099 | won: False
Blue team starts
GAME IS OVER
#  102 | steps: 24927 | steps_t: 11958 | t: 1139.759791 | r: -6820.000000 | e:   0.760840 | Q: 250.440125 | won: False
Blue team starts
GAME IS OVER
#  103 | steps: 25228 | steps_t: 12208 | t: 1160.280958 | r:  1370.000000 | e:   0.755840 | Q: 291.255524 | won: True
Blue team starts
GAME IS OVER
#  104 | steps: 25529 | steps_t: 12467 | t: 1181.916246 | r: -1750.000000 | e:   0.750660 | Q: 290.716888 | won: True
Blue team starts
GAME IS OVER
#  105 | steps: 25749 | steps_t: 12632 | t: 1195.864949 | r: -8120.000000 | e:   0.747360 | Q: 209.968887 | won: False
Red team starts
GAME IS OVER
#  106 | steps: 25921 | steps_t: 12759 | t: 1205.112820 | r: -1420.000000 | e:   0.744820 | Q: 187.144470 | won: False
Blue team starts
GAME IS OVER
#  107 | steps: 26137 | steps_t: 12920 | t: 1217.431446 | r: -2060.000000 | e:   0.741600 | Q: 236.122925 | won: False
Blue team starts
GAME IS OVER
#  108 | steps: 26357 | steps_t: 13086 | t: 1231.630914 | r: -4140.000000 | e:   0.738280 | Q: 221.832184 | won: False
Blue team starts
GAME IS OVER
#  109 | steps: 26573 | steps_t: 13248 | t: 1244.675815 | r: -3280.000000 | e:   0.735040 | Q: 249.794830 | won: False
Red team starts
GAME IS OVER
#  110 | steps: 26791 | steps_t: 13412 | t: 1257.394217 | r: -3890.000000 | e:   0.731760 | Q: 265.381927 | won: False
Blue team starts
GAME IS OVER
#  111 | steps: 27092 | steps_t: 13668 | t: 1278.998421 | r:  2590.000000 | e:   0.726640 | Q: 360.239502 | won: True
Blue team starts
GAME IS OVER
