Loading checkpoint...
Blue team baselineTeam with {'numTraining': 9}:
Loading Team: baselineTeam.py
Arguments: {'numTraining': 9}
Playing 9 training games
Red team starts
#    4 | steps:   773 | steps_t: 28334 | t: 46.146976 | r: -3880.000000 | e:   0.433320 | Q: -206.976105 | won: False
Red team starts
28335 28989.201
28336 22849.363
28337 25853.05
28338 633775.4
28339 35703.043
28340 13538.4795
28341 23866.016
28342 53903.81
28343 34917.75
28344 43543.906
28345 14565.807
28346 22706.488
28347 26606.535
28348 20797.16
28349 24097.916
28350 45427.582
28351 46789.445
28352 31260.945
28353 17883.17
28354 13837.51
28355 695633.06
28356 10088.33
28357 38317.992
28358 19037.871
28359 18813.668
28360 617175.8
28361 28598.39
28362 24442.0
28363 616063.94
28364 43976.164
28365 27645.213
28366 76315.73
28367 14024.979
28368 27603.238
28369 35368.484
28370 19920.43
28371 13966.969
28372 27157.986
28373 9808.592
28374 18795.258
28375 71785.71
28376 56870.742
28377 26316.729
28378 605621.94
28379 17215.777
28380 40887.02
28381 24955.68
28382 22234.852
28383 17391.834
28384 26490.521
28385 626131.56
28386 40631.258
28387 26101.744
28388 42318.824
28389 629121.06
28390 25811.707
28391 68443.36
28392 11956.408
28393 25040.047
28394 45690.867
28395 10599.736
28396 606669.94
28397 665942.56
28398 47114.477
28399 602216.44
28400 42658.547
28401 32531.645
28402 23703.664
28403 14389.165
28404 15465.219
28405 32116.43
28406 59732.805
28407 52438.695
28408 44324.137
28409 17026.762
28410 642410.6
28411 608881.3
28412 57446.57
28413 23016.086
28414 30141.254
28415 1220601.0
28416 18595.055
28417 623050.8
28418 616349.56
28419 54387.28
28420 25651.592
28421 55316.07
28422 11103.633
28423 611697.4
28424 47346.527
28425 26164.635
28426 18254.543
28427 23394.764
28428 13186.49
28429 30308.795
28430 23524.234
28431 76422.99
28432 23188.492
28433 137449.81
28434 26540.398
28435 18270.967
28436 643236.94
28437 21790.803
28438 41057.86
28439 19681.035
28440 618317.94
28441 603816.7
28442 12072.494
28443 54392.184
28444 31344.723
28445 21013.75
28446 50233.676
28447 630178.1
28448 21135.953
28449 6907.9414
28450 24736.363
28451 29983.715
28452 622276.4
28453 643054.56
28454 16941.758
28455 32335.332
28456 1263471.8
28457 14665.223
28458 14690.199
28459 65790.414
GAME IS OVER
28460 601486.44
#    5 | steps:   941 | steps_t: 28460 | t: 56.454169 | r: -1790.000000 | e:   0.430800 | Q: -209.526825 | won: False
Red team starts
28461 603895.4
28462 25654.166
28463 15979.653
28464 623575.75
28465 19784.28
28466 39151.676
28467 621687.44
28468 25035.504
28469 69157.46
28470 29577.742
28471 12254.321
28472 34886.125
28473 54223.84
28474 48694.773
28475 13010.746
28476 50309.633
28477 632411.9
28478 11113.933
28479 16596.945
28480 33953.37
28481 600154.25
28482 25530.447
28483 648575.4
28484 28608.633
28485 19528.938
28486 34431.77
28487 51545.094
28488 25025.605
28489 18111.484
28490 32155.582
28491 16988.148
28492 21739.281
28493 20512.682
28494 63132.8
28495 618271.1
28496 22270.395
28497 19825.41
28498 13203.934
28499 19948.723
28500 17117.537
28501 16108.387
28502 29687.994
28503 68600.02
28504 646607.44
28505 22206.184
28506 48064.418
28507 630223.25
28508 13241.402
28509 22029.094
28510 16381.07
28511 20937.455
28512 43121.984
28513 15277.732
28514 19115.451
28515 19325.34
28516 17444.988
28517 28902.293
28518 590830.8
28519 15449.836
28520 15457.14
28521 651105.56
28522 635093.9
28523 24657.633
28524 14898.881
28525 13973.424
28526 11315.49
28527 1236913.2
28528 34039.867
28529 28211.496
28530 24382.51
28531 26956.438
28532 26639.773
28533 70864.86
28534 13381.371
28535 12170.524
28536 23935.238
28537 22547.73
28538 53156.984
28539 45606.086
28540 28204.2
28541 14471.309
28542 60998.945
28543 633656.94
28544 646681.7
28545 636093.44
28546 8288.695
28547 28529.527
28548 632413.2
28549 24153.678
28550 30002.432
28551 11619.121
28552 30445.844
28553 51932.812
28554 10294.153
28555 14865.504
28556 32706.03
28557 18821.4
28558 67012.016
28559 35629.46
28560 21691.87
28561 30552.68
28562 18867.496
28563 18855.21
28564 16875.5
28565 592272.56
28566 59891.47
28567 33887.46
28568 30551.807
28569 24389.422
28570 15126.99
28571 62566.246
28572 17722.05
28573 98688.09
28574 630527.0
28575 37447.414
28576 14430.695
